
prefecture,x,y
Hokkaido,143,244
Aomori,73,133
Iwate,89,91
Miyagi,79,33
Akita,57,91
Yamagata,41,45
Fukushima,47,-22
Ibaraki,53,-70
Tochigi,37,-50
Gunma,3,-55
Saitama,17,-82
Chiba,50,-101
Tokyo,19,-94
Kanagawa,16,-107
Niigata,0,-16
Toyama,-62,-54
Ishikawa,-81,-25
Fukui,-90,-64
Yamanashi,-12,-96
Nagano,-34,-81
Gifu,-71,-98
Shizuoka,-28,-124
Aichi,-61,-124
Mie,-93,-154
Shiga,-106,-120
Kyoto,-132,-120
Osaka,-127,-142
Hyogo,-157,-126
Nara,-114,-156
Wakayama,-123,-190
Tottori,-192,-108
Shimane,-234,-119
Okayama,-191,-134
Hiroshima,-230,-146
Yamaguchi,-279,-165
Tokushima,-177,-179
Kagawa,-191,-161
Ehime,-226,-185
Kochi,-206,-192
Fukuoka,-313,-188
Saga,-335,-204
Nagasaki,-345,-227
Kumamoto,-306,-224
Oita,-284,-214
Miyazaki,-286,-249
Kagoshima,-319,-270
Okinawa,259,-226
